INFO  - 2021-01-22 13:51:00.245; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2021-01-22 13:51:00.246; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2021-01-22 13:51:00.247; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2021-01-22 13:51:00.247; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2021-01-22 13:51:00.247; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2021-01-22 13:51:00.248; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2021-01-22 13:51:00.249; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2021-01-22 13:51:00.290; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2021-01-22 13:51:00.292; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2021-01-22 13:51:00.298; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2021-01-22 13:51:00.298; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.299; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.377; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.379; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.380; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.380; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.381; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.382; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2021-01-22 13:51:00.382; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
